species,phylogroup
Lactobacillus acetotolerans,Lactobacillus
Lactobacillus acidifarinae,Levilactobacillus
Lactobacillus acidipiscis,Ligilactobacillus
Lactobacillus acidophilus,Lactobacillus
Lactobacillus agilis,Ligilactobacillus
Lactobacillus algidus,Dellaglioa
Lactobacillus alimentarius,Companilactobacillus
Lactobacillus allii,Companilactobacillus
Lactobacillus amylolyticus,Lactobacillus
Lactobacillus amylophilus,Amylolactobacillus
Lactobacillus amylovorus,Lactobacillus
Lactobacillus animalis,Ligilactobacillus
Lactobacillus antri,Limosilactobacillus
Lactobacillus apinorum,Apilactobacillus
Lactobacillus apis,Lactobacillus
Lactobacillus apodemi,Ligilactobacillus
Lactobacillus aquaticus,Liquorilactobacillus
Lactobacillus araffinosus,Ligilactobacillus
Lactobacillus aviarius,Ligilactobacillus
Lactobacillus backii,Loigolactobacillus
Lactobacillus bambusae,Levilactobacillus
Lactobacillus bifermentans,Loigolactobacillus
Lactobacillus bombi,Bombilactobacillus
Lactobacillus bombicola,Lactobacillus
Lactobacillus brantae,Lacticaseibacillus
Lactobacillus brevis,Levilactobacillus
Lactobacillus buchneri,Lentilactobacillus
Lactobacillus cacaonum,Liquorilactobacillus
Lactobacillus camelliae,Lacticaseibacillus
Lactobacillus capillatus,Liquorilactobacillus
Lactobacillus casei,Lacticaseibacillus
Lactobacillus ceti,Ligilactobacillus
Lactobacillus coleohominis,Limosilactobacillus
Lactobacillus collinoides,Secundilactobacillus
Lactobacillus composti,Agrilactobacillus
Lactobacillus concavus,Lapidilactobacillus
Lactobacillus coryniformis,Loigolactobacillus
Lactobacillus crispatus,Lactobacillus
Lactobacillus crustorum,Companilactobacillus
Lactobacillus curieae,Lentilactobacillus
Lactobacillus curvatus,Latilactobacillus
Lactobacillus delbrueckii,Lactobacillus
Lactobacillus dextrinicus,Lapidilactobacillus
Lactobacillus diolivorans,Lentilactobacillus
Lactobacillus equi,Ligilactobacillus
Lactobacillus equicursoris,Lactobacillus
Lactobacillus equigenerosi,Limosilactobacillus
Lactobacillus fabifermentans,Lactiplantibacillus
Lactobacillus farciminis,Companilactobacillus
Lactobacillus farraginis,Lentilactobacillus
Lactobacillus fermentum,Limosilactobacillus
